"lon","lat","Cluster_drop"
-66.23243,45.1746,"6"
-66.23168,45.16952,"6"
-66.24201,45.16706,"4"
-66.24115,45.16863,"4"
-66.24072,45.17208,"4"
-66.24228,45.17608,"4"
-66.24468,45.17902,"4"
-66.24576,45.18235,"1"
-66.24966,45.18267,"1"
-66.25199,45.1836,"1"
-66.25484,45.18555,"1"
-66.25916,45.18862,"1"
-66.26158,45.14331,"3"
-66.26341,45.14306,"3"
-66.23486,45.1565,"5"
-66.23217,45.15664,"5"
-66.22901,45.16546,"6"
-66.22747,45.16907,"6"
-66.23309,45.17121,"6"
-66.23767,45.17275,"4"
-66.2391,45.1786,"4"
-66.24476,45.17429,"4"
-66.24723,45.17488,"4"
-66.24846,45.17799,"1"
-66.24957,45.18052,"1"
-66.25238,45.18217,"1"
-66.25354,45.18429,"1"
-66.25114,45.18361,"1"
-66.24641,45.18241,"1"
-66.24358,45.17975,"4"
-66.2422,45.17707,"4"
-66.24135,45.17441,"4"
-66.24058,45.17186,"4"
-66.24098,45.16997,"4"
-66.24178,45.16793,"4"
-66.24243,45.16626,"4"
-66.24674,45.16733,"4"
-66.25062,45.16631,"4"
-66.25193,45.16316,"2"
-66.25628,45.16191,"2"
-66.2512,45.15649,"3"
-66.24707,45.1525,"5"
-66.25927,45.14203,"3"
-66.26181,45.14163,"3"
-66.25015,45.14596,"3"
-66.25282,45.1474,"3"
-66.25513,45.15328,"3"
-66.25906,45.15735,"2"
-66.24873,45.16278,"5"
-66.24256,45.15877,"5"
-66.23645,45.15905,"5"
-66.23696,45.16201,"5"
-66.23382,45.16643,"6"
-66.23086,45.16726,"6"
-66.22546,45.16818,"6"
-66.22658,45.17074,"6"
-66.23075,45.17158,"6"
-66.23221,45.17462,"6"
-66.2386,45.17632,"4"
-66.24376,45.17276,"4"
-66.24842,45.177,"1"
-66.2508,45.17961,"1"
-66.2557,45.1856,"1"
-66.25017,45.1823,"1"
-66.24625,45.18185,"1"
-66.24326,45.17818,"4"
-66.24143,45.17556,"4"
-66.24056,45.17382,"4"
-66.24069,45.17181,"4"
-66.24164,45.16914,"4"
-66.24186,45.1668,"4"
-66.24238,45.16758,"4"
-66.26408,45.1589,"2"
-66.26668,45.16162,"2"
-66.24874,45.17799,"1"
-66.25159,45.18042,"1"
-66.2484,45.18435,"1"
-66.2406,45.17991,"4"
-66.2379,45.17903,"4"
-66.23551,45.17426,"6"
-66.23698,45.17022,"6"
-66.23432,45.16969,"6"
-66.24135,45.16877,"4"
-66.24154,45.17028,"4"
-66.2411,45.17233,"4"
-66.24213,45.17511,"4"
-66.24286,45.17738,"4"
-66.24458,45.17911,"4"
-66.24631,45.1807,"1"
-66.24808,45.18209,"1"
-66.24939,45.18236,"1"
-66.2502,45.18295,"1"
-66.24764,45.1672,"4"
-66.24988,45.15901,"5"
-66.25019,45.15573,"5"
-66.25538,45.15119,"3"
-66.25345,45.14805,"3"
-66.24787,45.14959,"3"
-66.23849,45.1501,"5"
-66.23508,45.15298,"5"
-66.23368,45.15447,"5"
-66.23672,45.15667,"5"
-66.2616,45.1434,"3"
-66.2621,45.1423,"3"
-66.237,45.1496,"5"
-66.2354,45.1518,"5"
-66.2331,45.1601,"5"
-66.2299,45.1654,"6"
-66.2289,45.1677,"6"
-66.2288,45.1701,"6"
-66.2348,45.1737,"6"
-66.24,45.1782,"4"
-66.2468,45.184,"1"
-66.2517,45.1837,"1"
-66.2462,45.1823,"1"
-66.2428,45.1792,"4"
-66.2419,45.1759,"4"
-66.2407,45.1722,"4"
-66.2412,45.1694,"4"
-66.26253,45.1431,"3"
-66.26192,45.1422,"3"
-66.25058,45.1464,"3"
-66.25003,45.1489,"3"
-66.24892,45.151,"3"
-66.24748,45.1539,"5"
-66.24543,45.1555,"5"
-66.24233,45.1555,"5"
-66.23992,45.1544,"5"
-66.23912,45.1519,"5"
-66.22852,45.1648,"6"
-66.2309,45.1671,"6"
-66.23233,45.1698,"6"
-66.23505,45.1713,"6"
-66.23852,45.1719,"4"
-66.24815,45.1761,"4"
-66.24875,45.1787,"1"
-66.25127,45.1811,"1"
-66.2561,45.1672,"2"
-66.26302,45.1614,"2"
-66.24272,45.1654,"4"
-66.2418,45.167,"4"
-66.2408,45.1689,"4"
-66.24088,45.171,"4"
-66.24052,45.1733,"4"
-66.24105,45.1756,"4"
-66.24248,45.1782,"4"
-66.24412,45.1806,"1"
-66.24558,45.1824,"1"
-66.24858,45.1837,"1"
