set_id,lat,lon,day_jour,month_mois,year_année,station,replicate_réplicat,cont_g,air_cont_g,oven_cont_g,net_dry_wt_g,ash_1_g,ash_2_g,perc_loss_ash_1__,perc_loss_ash_2__,tot_perc_loss__,comments
2011.09.001,45.140749999999997,-66.26021667,1,9,2011,1,a,16.100999999999999,18.698000000000000,18.696999999999999,2.596000000000000,18.609999999999999,18.527999999999999,3.351309707000000,3.158705701000000,6.510015408000000,
2011.09.001,45.140749999999997,-66.26021667,1,9,2011,1,b,8.257000000000000,10.734999999999999,10.734999999999999,2.478000000000000,10.654000000000000,10.567000000000000,3.268765133000000,3.510895884000000,6.779661017000000,
2011.09.001,45.140749999999997,-66.26021667,1,9,2011,1,c,15.093000000000000,17.500000000000000,17.498999999999999,2.406000000000000,17.428999999999998,17.338000000000001,2.909393184000000,3.782211139000000,6.691604323000000,
2011.09.001,45.140749999999997,-66.26021667,1,9,2011,1,d,14.282999999999999,16.734000000000002,16.731999999999999,2.449000000000000,16.667999999999999,16.567000000000000,2.613311556000000,4.124132299000000,6.737443855000000,
2011.09.002,45.142633330000002,-66.26183333,1,9,2011,2,a,13.454000000000001,16.024000000000001,16.021999999999998,2.568000000000000,15.972000000000000,15.932000000000000,1.947040498000000,1.557632399000000,3.504672897000000,
2011.09.002,45.142633330000002,-66.26183333,1,9,2011,2,b,7.507000000000000,10.009000000000000,10.005000000000001,2.498000000000000,9.958000000000000,9.919000000000000,1.881505204000000,1.561248999000000,3.442754203000000,
2011.09.002,45.142633330000002,-66.26183333,1,9,2011,2,c,7.310000000000000,9.837999999999999,9.834000000000000,2.524000000000000,9.789000000000000,9.747000000000000,1.782884311000000,1.664025357000000,3.446909667000000,
2011.09.002,45.142633330000002,-66.26183333,1,9,2011,2,d,11.448000000000000,13.978999999999999,13.974000000000000,2.526000000000000,13.933999999999999,13.888000000000000,1.583531275000000,1.821060966000000,3.404592241000000,
2011.09.003,45.146366669999999,-66.24868333,1,9,2011,3,a,13.462999999999999,16.010000000000002,16.013999999999999,2.551000000000000,15.962999999999999,15.922000000000001,1.999215994000000,1.607212858000000,3.606428851000000,
2011.09.003,45.146366669999999,-66.24868333,1,9,2011,3,b,8.648999999999999,11.146000000000001,11.147000000000000,2.498000000000000,11.100000000000000,11.058999999999999,1.881505204000000,1.641313050000000,3.522818255000000,
2011.09.003,45.146366669999999,-66.24868333,1,9,2011,3,c,13.010000000000000,15.561999999999999,15.563000000000001,2.553000000000000,15.516000000000000,15.473000000000001,1.840971406000000,1.684292989000000,3.525264395000000,
2011.09.003,45.146366669999999,-66.24868333,1,9,2011,3,d,7.545000000000000,10.007000000000000,10.007000000000000,2.462000000000000,9.962999999999999,9.920999999999999,1.787164907000000,1.705930138000000,3.493095045000000,
2011.09.004,45.146483330000002,-66.24608333,1,9,2011,4,a,7.371000000000000,9.853999999999999,9.855000000000000,2.484000000000000,9.805000000000000,9.763999999999999,2.012882448000000,1.650563607000000,3.663446055000000,
2011.09.004,45.146483330000002,-66.24608333,1,9,2011,4,b,10.106999999999999,12.606999999999999,12.606999999999999,2.500000000000000,12.563000000000001,12.520000000000000,1.760000000000000,1.720000000000000,3.480000000000000,
2011.09.004,45.146483330000002,-66.24608333,1,9,2011,4,c,7.197000000000000,9.682000000000000,9.680999999999999,2.484000000000000,9.638000000000000,9.593999999999999,1.731078905000000,1.771336554000000,3.502415459000000,
2011.09.004,45.146483330000002,-66.24608333,1,9,2011,4,d,7.600000000000000,10.994000000000000,10.992000000000001,3.392000000000000,10.936000000000000,10.872999999999999,1.650943396000000,1.857311321000000,3.508254717000000,
2011.09.005,45.146633330000000,-66.24345,1,9,2011,5,a,15.385000000000000,17.907000000000000,17.908000000000001,2.523000000000000,17.888000000000002,17.859000000000002,0.792707095,1.149425287000000,1.942132382000000,
2011.09.005,45.146633330000000,-66.24345,1,9,2011,5,b,7.693000000000000,10.231999999999999,10.231999999999999,2.539000000000000,10.212999999999999,10.183999999999999,0.748326113,1.142181961000000,1.890508074000000,
2011.09.005,45.146633330000000,-66.24345,1,9,2011,5,c,13.890000000000001,16.285000000000000,16.285000000000000,2.395000000000000,16.265999999999998,16.238000000000000,0.793319415,1.169102296000000,1.962421712000000,
2011.09.005,45.146633330000000,-66.24345,1,9,2011,5,d,8.791000000000000,11.382999999999999,11.382999999999999,2.592000000000000,11.365000000000000,11.332000000000001,0.694444444,1.273148148000000,1.967592593000000,
2011.09.006,45.147750000000002,-66.23956667,1,9,2011,6,a,7.893000000000000,10.403000000000000,10.404999999999999,2.512000000000000,10.358000000000001,10.323000000000000,1.871019108000000,1.393312102000000,3.264331210000000,
2011.09.006,45.147750000000002,-66.23956667,1,9,2011,6,b,8.236000000000001,10.720000000000001,10.720000000000001,2.484000000000000,10.675000000000001,10.641000000000000,1.811594203000000,1.368760064000000,3.180354267000000,
2011.09.006,45.147750000000002,-66.23956667,1,9,2011,6,c,16.779000000000000,19.245000000000001,19.244000000000000,2.465000000000000,19.202000000000002,19.164000000000001,1.703853955000000,1.541582150000000,3.245436105000000,
2011.09.006,45.147750000000002,-66.23956667,1,9,2011,6,d,11.103999999999999,13.612000000000000,13.609999999999999,2.506000000000000,13.573000000000000,13.529999999999999,1.476456504000000,1.715881883000000,3.192338388000000,
2011.09.007,45.151283329999998,-66.23713333,1,9,2011,7,a,10.266000000000000,12.789999999999999,12.789999999999999,2.524000000000000,12.757999999999999,12.733000000000001,1.267828843000000,0.990491284,2.258320127000000,
